"lenX","lenY","bits","proba"
68,67,8,0.077
68,67,9,0.033
68,67,10,0.026
68,67,11,0.016
68,67,12,0.006
68,67,13,0.002
68,67,14,0.003
68,67,15,0.001
68,67,16,0.002
68,67,17,0
68,67,18,0
68,67,19,0
68,67,20,0
68,67,21,0
68,67,22,0
68,67,23,0
68,67,24,0
68,67,25,0
68,67,26,0
68,67,27,0
68,67,28,0
68,67,29,0
68,67,30,0
68,67,31,0
68,67,32,0
68,66,8,0.207
68,66,9,0.11
68,66,10,0.086
68,66,11,0.067
68,66,12,0.047
68,66,13,0.022
68,66,14,0.025
68,66,15,0.007
68,66,16,0.004
68,66,17,0.005
68,66,18,0.002
68,66,19,0.001
68,66,20,0
68,66,21,0
68,66,22,0
68,66,23,0.001
68,66,24,0
68,66,25,0
68,66,26,0
68,66,27,0
68,66,28,0
68,66,29,0
68,66,30,0
68,66,31,0
68,66,32,0
68,65,8,0.126
68,65,9,0.097
68,65,10,0.048
68,65,11,0.039
68,65,12,0.022
68,65,13,0.015
68,65,14,0.01
68,65,15,0.001
68,65,16,0.006
68,65,17,0.003
68,65,18,0.001
68,65,19,0.001
68,65,20,0
68,65,21,0
68,65,22,0.001
68,65,23,0
68,65,24,0
68,65,25,0
68,65,26,0
68,65,27,0
68,65,28,0
68,65,29,0
68,65,30,0
68,65,31,0
68,65,32,0
68,64,8,0.393
68,64,9,0.297
68,64,10,0.212
68,64,11,0.15
68,64,12,0.118
68,64,13,0.069
68,64,14,0.052
68,64,15,0.021
68,64,16,0.023
68,64,17,0.012
68,64,18,0.011
68,64,19,0.004
68,64,20,0.004
68,64,21,0.006
68,64,22,0.003
68,64,23,0.001
68,64,24,0.001
68,64,25,0
68,64,26,0
68,64,27,0
68,64,28,0
68,64,29,0
68,64,30,0
68,64,31,0
68,64,32,0
68,63,8,0.083
68,63,9,0.041
68,63,10,0.019
68,63,11,0.019
68,63,12,0.006
68,63,13,0.004
68,63,14,0.007
68,63,15,0.003
68,63,16,0.001
68,63,17,0
68,63,18,0
68,63,19,0
68,63,20,0
68,63,21,0
68,63,22,0
68,63,23,0
68,63,24,0
68,63,25,0.001
68,63,26,0
68,63,27,0
68,63,28,0
68,63,29,0
68,63,30,0
68,63,31,0
68,63,32,0
68,62,8,0.42
68,62,9,0.34
68,62,10,0.26
68,62,11,0.186
68,62,12,0.153
68,62,13,0.097
68,62,14,0.061
68,62,15,0.053
68,62,16,0.051
68,62,17,0.032
68,62,18,0.024
68,62,19,0.014
68,62,20,0.009
68,62,21,0.008
68,62,22,0.005
68,62,23,0
68,62,24,0.003
68,62,25,0.001
68,62,26,0.001
68,62,27,0
68,62,28,0
68,62,29,0
68,62,30,0
68,62,31,0
68,62,32,0.001
68,61,8,0.062
68,61,9,0.036
68,61,10,0.02
68,61,11,0.015
68,61,12,0.012
68,61,13,0.003
68,61,14,0.003
68,61,15,0.004
68,61,16,0.001
68,61,17,0
68,61,18,0
68,61,19,0
68,61,20,0
68,61,21,0
68,61,22,0
68,61,23,0
68,61,24,0
68,61,25,0
68,61,26,0
68,61,27,0
68,61,28,0
68,61,29,0
68,61,30,0
68,61,31,0
68,61,32,0
68,60,8,0.388
68,60,9,0.316
68,60,10,0.244
68,60,11,0.182
68,60,12,0.145
68,60,13,0.108
68,60,14,0.064
68,60,15,0.055
68,60,16,0.04
68,60,17,0.029
68,60,18,0.013
68,60,19,0.011
68,60,20,0.011
68,60,21,0.005
68,60,22,0.003
68,60,23,0.004
68,60,24,0.003
68,60,25,0
68,60,26,0.002
68,60,27,0.001
68,60,28,0
68,60,29,0
68,60,30,0
68,60,31,0
68,60,32,0
68,59,8,0.103
68,59,9,0.1
68,59,10,0.073
68,59,11,0.049
68,59,12,0.03
68,59,13,0.021
68,59,14,0.016
68,59,15,0.011
68,59,16,0.002
68,59,17,0.001
68,59,18,0.001
68,59,19,0.002
68,59,20,0.001
68,59,21,0
68,59,22,0.001
68,59,23,0
68,59,24,0
68,59,25,0
68,59,26,0
68,59,27,0
68,59,28,0
68,59,29,0
68,59,30,0
68,59,31,0
68,59,32,0
68,58,8,0.266
68,58,9,0.218
68,58,10,0.135
68,58,11,0.106
68,58,12,0.074
68,58,13,0.055
68,58,14,0.036
68,58,15,0.026
68,58,16,0.018
68,58,17,0.016
68,58,18,0.005
68,58,19,0.004
68,58,20,0.006
68,58,21,0.002
68,58,22,0.003
68,58,23,0.002
68,58,24,0
68,58,25,0
68,58,26,0
68,58,27,0
68,58,28,0
68,58,29,0
68,58,30,0
68,58,31,0
68,58,32,0
68,57,8,0.093
68,57,9,0.046
68,57,10,0.044
68,57,11,0.014
68,57,12,0.018
68,57,13,0.013
68,57,14,0.007
68,57,15,0.004
68,57,16,0.003
68,57,17,0
68,57,18,0.004
68,57,19,0.001
68,57,20,0
68,57,21,0
68,57,22,0
68,57,23,0
68,57,24,0
68,57,25,0
68,57,26,0
68,57,27,0.001
68,57,28,0
68,57,29,0
68,57,30,0
68,57,31,0
68,57,32,0
68,56,8,0.678
68,56,9,0.603
68,56,10,0.507
68,56,11,0.421
68,56,12,0.356
68,56,13,0.274
68,56,14,0.25
68,56,15,0.185
68,56,16,0.152
68,56,17,0.101
68,56,18,0.089
68,56,19,0.051
68,56,20,0.063
68,56,21,0.036
68,56,22,0.034
68,56,23,0.028
68,56,24,0.016
68,56,25,0.011
68,56,26,0.011
68,56,27,0.006
68,56,28,0.008
68,56,29,0
68,56,30,0.002
68,56,31,0.003
68,56,32,0.003
68,55,8,0.066
68,55,9,0.027
68,55,10,0.024
68,55,11,0.017
68,55,12,0.004
68,55,13,0.008
68,55,14,0.001
68,55,15,0.001
68,55,16,0
68,55,17,0
68,55,18,0
68,55,19,0
68,55,20,0
68,55,21,0
68,55,22,0
68,55,23,0
68,55,24,0
68,55,25,0
68,55,26,0
68,55,27,0
68,55,28,0
68,55,29,0
68,55,30,0
68,55,31,0
68,55,32,0
68,54,8,0.201
68,54,9,0.133
68,54,10,0.108
68,54,11,0.066
68,54,12,0.048
68,54,13,0.038
68,54,14,0.026
68,54,15,0.015
68,54,16,0.008
68,54,17,0.007
68,54,18,0.005
68,54,19,0.007
68,54,20,0.002
68,54,21,0.003
68,54,22,0.001
68,54,23,0
68,54,24,0.001
68,54,25,0
68,54,26,0
68,54,27,0
68,54,28,0
68,54,29,0
68,54,30,0
68,54,31,0
68,54,32,0
68,53,8,0.116
68,53,9,0.092
68,53,10,0.063
68,53,11,0.037
68,53,12,0.031
68,53,13,0.014
68,53,14,0.009
68,53,15,0.009
68,53,16,0.006
68,53,17,0.004
68,53,18,0.004
68,53,19,0
68,53,20,0.002
68,53,21,0
68,53,22,0
68,53,23,0
